iter	Passed	Remaining
0	117	116923
1	117	58665
2	118	39239
3	118	29514
4	119	23685
5	119	19792
6	119	17015
7	120	14935
8	120	13311
9	121	12014
10	121	10952
11	122	10066
12	122	9316
13	123	8674
14	123	8116
15	124	7631
16	124	7203
17	125	6823
18	125	6482
19	126	6175
20	126	5896
21	126	5644
22	127	5414
23	127	5202
24	128	5006
25	128	4826
26	129	4659
27	129	4503
28	130	4359
29	130	4224
30	131	4099
31	131	3980
32	132	3871
33	132	3768
34	133	3670
35	133	3578
36	134	3490
37	134	3407
38	135	3328
39	135	3252
40	136	3181
41	136	3112
42	136	3047
43	137	2985
44	137	2925
45	138	2868
46	138	2813
47	139	2761
48	139	2712
49	140	2664
50	140	2618
51	141	2575
52	141	2534
53	142	2493
54	142	2455
55	143	2416
56	143	2379
57	144	2344
58	144	2310
59	145	2277
60	145	2245
61	146	2214
62	146	2186
63	147	2157
64	148	2129
65	148	2103
66	149	2076
67	149	2047
68	149	2022
69	150	1998
70	150	1974
71	151	1951
72	151	1929
73	152	1907
74	152	1885
75	153	1865
76	153	1844
77	154	1824
78	154	1806
79	155	1787
80	155	1769
81	156	1752
82	157	1735
83	157	1717
84	157	1699
85	158	1682
86	158	1665
87	159	1649
88	159	1633
89	160	1618
90	160	1603
91	161	1590
92	161	1576
93	162	1563
94	162	1550
95	163	1537
96	163	1524
97	164	1511
98	164	1498
99	165	1486
100	165	1474
101	165	1460
102	166	1448
103	166	1437
104	167	1426
105	167	1415
106	168	1404
107	168	1393
108	169	1383
109	169	1372
110	170	1362
111	170	1352
112	171	1342
113	171	1333
114	171	1323
115	172	1313
116	172	1304
117	173	1295
118	173	1285
119	174	1276
120	174	1268
121	175	1259
122	175	1249
123	175	1241
124	176	1233
125	176	1225
126	177	1217
127	177	1208
128	177	1200
129	178	1193
130	178	1186
131	179	1179
132	179	1171
133	180	1164
134	180	1157
135	181	1150
136	181	1144
137	181	1136
138	182	1130
139	182	1123
140	183	1116
141	183	1110
142	184	1104
143	184	1097
144	185	1092
145	185	1086
146	186	1080
147	186	1074
148	187	1068
149	187	1062
150	188	1057
151	188	1052
152	189	1047
153	189	1042
154	190	1037
155	190	1032
156	191	1027
157	191	1022
158	192	1018
159	193	1013
160	193	1008
161	194	1004
162	194	999
163	195	995
164	195	990
165	196	986
166	196	981
167	197	977
168	197	972
169	198	968
170	198	964
171	199	959
172	199	955
173	200	951
174	201	947
175	201	944
176	202	940
177	202	936
178	203	932
179	203	928
180	204	923
181	204	919
182	205	916
183	205	912
184	206	908
185	206	904
186	207	900
187	207	897
188	208	893
189	208	890
190	209	886
191	209	882
192	210	879
193	210	876
194	211	872
195	211	869
196	212	866
197	213	862
198	213	859
199	214	856
200	214	853
201	215	850
202	215	847
203	216	844
204	216	841
205	217	838
206	218	835
207	218	832
208	219	829
209	219	826
210	220	824
211	220	821
212	221	818
213	221	815
214	222	812
215	222	809
216	223	806
217	224	803
218	224	800
219	225	798
220	225	795
221	226	792
222	226	789
223	227	786
224	227	784
225	228	781
226	228	778
227	229	775
228	229	773
229	230	770
230	230	767
231	231	765
232	231	762
233	232	760
234	232	758
235	233	755
236	233	753
237	234	750
238	235	748
239	235	745
240	236	743
241	236	740
242	237	738
243	237	735
244	238	733
245	238	731
246	239	728
247	239	726
248	240	724
249	240	721
250	241	719
251	241	717
252	242	714
253	242	712
254	243	710
255	243	707
256	244	705
257	244	703
258	245	701
259	245	698
260	246	696
261	246	694
262	247	692
263	247	690
264	248	688
265	248	686
266	249	683
267	249	681
268	250	679
269	250	677
270	251	675
271	251	673
272	252	671
273	252	669
274	253	667
275	253	665
276	254	663
277	254	661
278	255	659
279	255	657
280	256	655
281	256	653
282	257	651
283	257	649
284	258	647
285	258	645
286	258	643
287	259	641
288	259	639
289	260	637
290	260	635
291	261	633
292	261	631
293	262	629
294	262	628
295	263	626
296	263	624
297	264	622
298	264	620
299	265	618
300	265	616
301	266	614
302	266	613
303	267	611
304	267	609
305	268	607
306	268	606
307	269	604
308	269	602
309	269	600
310	270	599
311	270	597
312	271	595
313	271	594
314	272	592
315	272	590
316	273	588
317	273	587
318	274	585
319	274	584
320	275	582
321	276	581
322	276	579
323	277	578
324	277	576
325	278	575
326	278	573
327	279	572
328	279	570
329	280	569
330	280	567
331	281	566
332	281	564
333	282	563
334	283	561
335	283	560
336	284	558
337	284	557
338	285	555
339	285	554
340	286	552
341	286	551
342	287	550
343	287	548
344	288	547
345	288	546
346	289	544
347	290	543
348	290	542
349	291	540
350	291	539
351	292	537
352	292	536
353	293	535
354	293	533
355	294	532
356	294	531
357	295	529
358	295	528
359	296	526
360	296	525
361	297	524
362	297	522
363	298	521
364	298	520
365	299	518
366	300	517
367	300	516
368	301	514
369	301	513
370	302	512
371	302	510
372	303	509
373	303	508
374	304	507
375	304	505
376	305	504
377	305	503
378	306	501
379	306	500
380	307	499
381	307	497
382	308	496
383	308	495
384	309	494
385	309	492
386	310	491
387	310	490
388	311	488
389	311	487
390	312	486
391	312	485
392	313	483
393	313	482
394	314	481
395	314	480
396	315	478
397	315	477
398	316	476
399	316	475
400	317	473
401	317	472
402	318	471
403	319	470
404	319	469
405	320	468
406	320	467
407	321	466
408	321	465
409	322	463
410	322	462
411	323	461
412	323	460
413	324	459
414	324	457
415	325	456
416	325	455
417	326	454
418	326	453
419	327	452
420	328	451
421	328	449
422	329	448
423	329	447
424	330	446
425	330	445
426	331	444
427	331	443
428	332	442
429	332	441
430	333	440
431	333	439
432	334	437
433	334	436
434	335	435
435	336	434
436	336	433
437	337	432
438	337	431
439	338	430
440	338	429
441	339	428
442	339	427
443	340	426
444	340	424
445	341	423
446	341	422
447	342	421
448	342	420
449	343	419
450	344	418
451	344	417
452	345	416
453	345	415
454	346	414
455	346	413
456	347	412
457	348	411
458	348	410
459	349	409
460	349	408
461	350	407
462	350	406
463	351	405
464	351	404
465	352	403
466	353	402
467	353	401
468	354	400
469	354	399
470	355	398
471	355	397
472	356	396
473	356	395
474	357	394
475	357	393
476	358	392
477	358	391
478	359	390
479	359	389
480	360	388
481	360	387
482	361	386
483	361	385
484	362	384
485	362	383
486	363	382
487	363	381
488	364	380
489	364	379
490	365	378
491	365	377
492	366	376
493	366	375
494	367	374
495	367	373
496	368	372
497	368	371
498	369	370
499	369	369
500	370	368
501	370	367
502	371	366
503	371	365
504	372	364
505	372	363
506	373	362
507	373	361
508	374	360
509	374	359
510	375	358
511	375	358
512	376	357
513	376	356
514	377	355
515	378	354
516	378	353
517	379	352
518	379	351
519	380	350
520	380	350
521	381	349
522	381	348
523	382	347
524	382	346
525	383	345
526	383	344
527	384	343
528	384	342
529	385	341
530	386	340
531	386	340
532	387	339
533	387	338
534	388	337
535	388	336
536	389	335
537	389	334
538	390	333
539	390	332
540	391	332
541	391	331
542	392	330
543	392	329
544	393	328
545	394	327
546	394	326
547	395	325
548	395	325
549	396	324
550	396	323
551	397	322
552	397	321
553	398	320
554	398	319
555	399	319
556	400	318
557	400	317
558	401	316
559	401	315
560	402	314
561	402	314
562	403	313
563	404	312
564	404	311
565	405	310
566	405	310
567	406	309
568	407	308
569	407	307
570	408	306
571	408	305
572	409	304
573	409	304
574	410	303
575	410	302
576	411	301
577	411	300
578	412	299
579	412	298
580	413	298
581	413	297
582	414	296
583	414	295
584	415	294
585	415	293
586	416	293
587	416	292
588	417	291
589	418	290
590	418	289
591	419	288
592	419	288
593	420	287
594	420	286
595	421	285
596	421	284
597	422	283
598	422	283
599	423	282
600	423	281
601	424	280
602	424	279
603	425	278
604	425	278
605	426	277
606	426	276
607	427	275
608	427	274
609	428	273
610	428	273
611	429	272
612	429	271
613	430	270
614	430	269
615	431	268
616	431	268
617	432	267
618	433	266
619	433	265
620	434	264
621	434	264
622	435	263
623	435	262
624	436	261
625	436	260
626	437	260
627	437	259
628	438	258
629	438	257
630	439	256
631	439	255
